KR3h0008	法書要錄-唐-張彥遠
KR3h0019	墨池編-宋-朱長文
KR3h0025	宣和畫譜-宋-闕名
KR3h0028	廣川書跋-宋-董逌
KR3h0033	書苑菁華-宋-陳思
KR3h0034	書小史-宋-陳思
KR3h0045	趙氏鐵綱珊瑚-明-朱存理
KR3h0061	御定佩文齋書畫譜-清-孫岳頒
KR3h0062	祕殿珠林-清-張照
KR3h0063	石渠寶笈-清-張照
KR3h0064	庚子銷夏記-清-孫承澤
KR3h0065	繪事備考-清-王毓賢
KR3h0067	江村銷夏錄-清-高士奇
KR3h0068	書畫彙考-清-卞永譽
KR3h0083	古今刀劔錄-梁-陶弘景
KR3h0084	鼎錄-陳-虞荔
KR3i0002	文房四譜-宋-蘇易簡
KR3i0017	香乘-明-周嘉胄
KR3i0044	御定佩文齋廣羣芳譜-清-汪灝
KR3j0001	鬻子-周-鬻熊
KR3j0010	淮南鴻烈解-漢-劉安
KR3j0021	習學記言-宋-葉適
KR3j0029	兼明書-唐-丘光庭
KR3j0035	雲谷雜記-宋-張淏
KR3j0037	學林-宋-王觀國
KR3j0038	容齋隨筆-宋-洪邁
KR3j0040	演繁露-宋-程大昌
KR3j0041	緯略-宋-高似孫
KR3j0047	攷古質疑-宋-葉大慶
KR3j0055	果學紀聞-宋-王應麟
KR3j0057	愛日齋叢抄-宋-葉□
KR3j0062	正楊-明-陳耀文
KR3j0063	疑耀-明-張萱
KR3j0064	名義考-明-周祈
KR3j0066	通雅-明-方以智
KR3j0067	巵林-明-周嬰
KR3j0070	日知錄-清-顧炎武
KR3j0072	潛邱劄記-清-閻若璩
KR3j0073	湛園札記-清-姜宸英
KR3j0076	義門讀書記-清-何焯
KR3j0077	管城碩記-清-徐文靖
KR3j0078	訂譌雜錄-清-胡鳴玉
KR3j0080	論衡-漢-王充
KR3j0087	宋景文筆記-宋-宋祁
KR3j0091	文昌雜錄-宋-龐元英
KR3j0092	夢溪筆談-宋-沈括
KR3j0105	石林燕語-宋-葉夢得
KR3j0112	墨莊漫錄-宋-張邦基
KR3j0117	雲麓漫抄-宋-趙彥衞
KR3j0118	示兒編-宋-孫奕
KR3j0119	游宧紀聞-宋-張世南
KR3j0124	愧郯錄-宋-岳珂
KR3j0141	玉堂嘉話-元-王惲
KR3j0150	胡文穆雜著-明-胡廣
KR3j0155	南園漫錄-明-張志淳
KR3j0160	物理小識-明-方以智
KR3j0161	春明夢餘錄-清-孫承澤
KR3j0163	池北偶談-清-王士禛
KR3j0172	遵生八牋-明-高濂
KR3j0175	韻石齋筆談-清-姜紹書
KR3j0178	意林-唐-馬總
KR3j0180	類說-宋-曾慥
KR3j0181	事實類苑-宋-江少虞
KR3j0184	言行龜鑑-元-張光祖
KR3j0185	說孚-明-陶宗儀
KR3j0187	元明事類鈔-清-姚之駰
KR3j0188	儼山外集-明-陸深
KR3j0190	少室山房筆叢-明-胡應麟
KR3k0003	藝文類聚-唐-歐陽詢
KR3k0004	北堂書鈔-唐-虞世南
KR3k0005	龍筋鳳髓判-唐-張鷟
KR3k0008	白孔六帖-唐-白居易
KR3k0011	事類賦-宋-吳淑
KR3k0012	太平御覽-宋-李昉
KR3k0013	册府元龜-宋-王欽若
KR3k0014	事物紀原-宋-高承
KR3k0017	海錄碎事-宋-葉庭珪
KR3k0018	古今姓氏書辯證-宋-鄧名世
KR3k0020	職官分紀-宋-孫逢吉
KR3k0021	歷代制度詳說-宋-呂祖謙
KR3k0023	錦繡萬花谷-宋-闕名
KR3k0025	記纂淵海-宋-潘自牧
KR3k0027	羣書會元截江網-宋-闕名
KR3k0028	全芳備祖集-宋-陳景沂
KR3k0029	羣書考索-宋-章如愚
KR3k0030	古今合璧事類備要-宋-謝維新
KR3k0031	古今源流至論-宋-林駧
KR3k0033	小學紺珠-宋-王應麟
KR3k0038	翰苑新書-宋-闕名
KR3k0039	韻府羣玉-元-陰勁弦
KR3k0042	名疑-明-陳士元
KR3k0045	喻林-明-徐元太
KR3k0046	經濟類編-明-馮琦
KR3k0047	同姓名錄-明-余寅
KR3k0048	說畧-明-顧起元
KR3k0049	天中記-明-陳耀文
KR3k0050	圖書編-明-章潢
KR3k0051	駢志-明-陳禹謨
KR3k0053	古儷府-明-王志慶
KR3k0054	廣博物志-明-董斯張
KR3k0055	御定淵鑑類函-清-張英
KR3k0056	御定駢字類編-清-吳士玉
KR3k0057	御定分類字錦-清-何焯
KR3k0058	御定子史精華-清-吳士玉
KR3k0060	御定韻府拾遺-清-聖祖玄燁
KR3k0061	格致鏡原-清-陳元龍
KR3k0062	讀書紀數略-清-宮夢仁
KR3l0035	青箱雜記-宋-吳處厚
KR3l0040	談苑-宋-孔平仲
KR3l0051	鐵圍山叢談-宋-蔡絛
KR3l0055	唐語林-宋-王讜
KR3l0068	雞肋編-宋-莊綽
KR3l0085	水東日記-明-葉盛
KR3l0086	菽園雜記-明-陸容
KR3l0091	山海經廣注-清-吳任臣
KR3l0099	搜神記-晉-干寶
KR3l0118	太平廣記-宋-李昉
KR3l0120	陶朱新錄-宋-馬純
